아티스트,곡 제목,가사
['아이유'],우울시계,"우울하다 우울해 지금 이 시간엔 우울하다
우울하다 우울해 지금이 몇 시지? 열한 시 반
우울하다 우울해 또 우울시계가 째깍째깍
우울하다 우울해 라면 왜 먹었지? 살 찌겠네
비가 온다 비가 와 끈적거리게 자꾸 비가 와
잠이 온다 잠이 와 그냥 세상 만사 귀찮아

시간이 흐르면 가슴 찢어지던 이별도
시간이 흐르면 이불 걷어찰 어린 기억도
잊혀진다 잊혀져 그냥저냥 휙휙 지나 가
잊혀진다 잊혀져 그땐 그게 전분 줄 알았는데

시간이 흐르면 지금 이리 우울한 것도
시간이 흐르면 힘들다 징징댔던 것도
한때란다 한때야 날카로운 감정의 기억이
무뎌진다 무뎌져 네모가 닳아져 원이 돼

우울하다 우울해 무뎌져 가는 게 우울하다
씁쓸하다 씁쓸해 한약을 달여 마신 듯 씁쓸
우울하다 우울해 별 것도 아닌데 우울하다
우울하다 우울해 우울우울 열매 먹은 듯 우울 접기"
['허각'],행복한 나를,"존박)
Yeah girl listen
You're the only one for me baby
And let me tell you why
허각)
몇번인가 이별을 경험하고서 널 만났지
그래서 더 시작이 두려웠는지 몰라
하지만 누군갈 알게 되고 사랑하게 되는 건
네가 마지막이라면 얼마나 좋을까
나처럼.. 바쁜 하루 중에도 잠시 네 목소릴 들으면
함께 있는 것처럼 너도 느껴지는지
매일밤 집으로 돌아갈 때 그 곳에 네가 있다면
힘든 하루 지친 네 마음이 내 품에 안겨쉴텐데
지금처럼만 날 사랑해줘
난 너만 변하지 않는다면
내 모든걸 가질 사람은 너뿐이야
난 흔들리지 않아
넌 가끔은 자신이 없는 미래를 미안해 하지만
잊지 말아줘 사랑해
너와 함께라면 이젠 행복한 나를
존박)
I can always be happy with me
I can always be happy with me
허각)
바쁜 하루 중에도 잠시 네 목소릴 들으면
함께 있는 것처럼 너도 느껴지는지
매일밤 집으로 돌아갈 때 그 곳에 네가 있다면
힘든 하루 지친 네 마음이 내 품에 안겨쉴텐데
지금처럼만 날 사랑해줘
난 너만 변하지 않는다면
내 모든걸 가질 사람은 너뿐이야
난 흔들리지 않아
넌 가끔은 자신이 없는 미래를 미안해 하지만
잊지 말아줘 사랑해
너와 함께라면 이젠 행복한 나를
난 많은 기대들로 세상이 정해 놓은 사랑을 버리고
네 마음처럼 난 늘 같은 자리에
또 하나의 네가 되고 싶어
소중한 널 위해
지금처럼만 사랑해줘 항상
너만 변하지 않으면 내 전불 가질 사람은 너뿐이야
난 흔들리지 않아
자신 없는 미래 넌 미안해 하고 있니
넌 이제 혼자가 아니야.. 이젠 잊지마
너와 함께라면 언제나 행복한 나를
존박)
I can do anything and everything
If my life's with you"
['벤'],별처럼,"
나만 홀로 느낀 황홀함일까
그저 바라보는 시선이 무거워
맴도는 발걸음 여전히 네가 보고 싶어
i need your mind
I remember 차가웠던 그 날
자꾸 떨리는 내 가슴이 혼자 울까봐
눈을뜨면 희미해져버릴 꿈처럼 놔줘
그게 아니면 곁에있어줘
무거워진 어깰 내게 보이며
미워하지도 못하게 막아선 너
따갑게 스치는 새벽에 네가 보고 싶어
i need your mind
I remember 차가웠던 그 날
자꾸 떨리는 내 가슴이 혼자 울까봐
눈을뜨면 희미해져버릴 꿈처럼 놔줘
그게 아니면 곁에있어줘
울어서 좋을게 없는데
깊게 새긴 흔적이 서러워
혹시 몰라 그대가올까 봐
I remember 슬퍼보였던 날
자꾸 떨리는 내 어깨를 네가 볼까봐
눈을뜨면 희미해져버릴 꿈처럼 놔줘
그게 아니면 곁에있어줘 지금"
['선우정아'],도망가자,"도망가자
어디든 가야 할 것만 같아
넌 금방이라도 울 것 같아
괜찮아
우리 가자
걱정은 잠시 내려놓고
대신 가볍게 짐을 챙기자
실컷 웃고 다시 돌아오자
거기서는 우리 아무 생각말자
너랑 있을게 이렇게
손 내밀면 내가 잡을게
있을까, 두려울 게
어디를 간다 해도
우린 서로를 꼭 붙잡고 있으니
너라서 나는 충분해
나를 봐 눈 맞춰줄래
너의 얼굴 위에 빛이 스며들 때까지
가보자 지금 나랑
도망가자
멀리 안 가도 괜찮을 거야
너와 함께라면 난 다 좋아
너의 맘이 편할 수 있는 곳
그게 어디든지 얘기 해줘
너랑 있을게 이렇게
손 내밀면 내가 잡을게
있을까, 두려울 게
어디를 간다 해도
우린 서로를 꼭 붙잡고 있으니
가보는 거야 달려도 볼까
어디로든 어떻게든
내가 옆에 있을게 마음껏 울어도 돼
그 다음에
돌아오자 씩씩하게
지쳐도 돼 내가 안아줄게
괜찮아 좀 느려도 천천히 걸어도
나만은 너랑 갈 거야 어디든
당연해 가자 손잡고
사랑해 눈 맞춰줄래
너의 얼굴 위에 빛이 스며들 때까지
가보자 지금 나랑
도망가자"
['아이유'],에잇,"So are you happy now
Finally happy now are you

뭐 그대로야 난 
다 잃어버린 것 같아  

모든 게 맘대로 왔다가 인사도 없이 떠나
이대로는 무엇도 사랑하고 싶지 않아 
다 해질 대로 해져버린
기억 속을 여행해 

우리는 오렌지 태양 아래
그림자 없이 함께 춤을 춰
정해진 이별 따위는 없어 
아름다웠던 그 기억에서 만나 
Forever young 

우우우 우우우우  우우우 우우우우
Forever we young 
우우우 우우우우
이런 악몽이라면 영영 깨지 않을게 

섬 그래 여긴 섬 서로가 만든 작은 섬
예 음 forever young 영원이란 말은 모래성

작별은 마치 재난문자 같지
그리움과 같이 맞이하는 아침
서로가 이 영겁을 지나 
꼭 이 섬에서 다시 만나

지나듯 날 위로하던 누구의 말대로 고작
한 뼘짜리 추억을 잊는 게 참 쉽지 않아
시간이 지나도 여전히
날 붙드는 그곳에 

우리는 오렌지 태양 아래
그림자 없이 함께 춤을 춰
정해진 안녕 따위는 없어 
아름다웠던 그 기억에서 만나 

우리는 서로를 베고 누워
슬프지 않은 이야기를 나눠
우울한 결말 따위는 없어
난 영원히 널 이 기억에서 만나 
Forever young 

우우우 우우우우  우우우 우우우우
Forever we young
우우우 우우우우
이런 악몽이라면 영영 깨지 않을게"
